No.,Character,Unicode,Set,Challenge note,TW/Hakka code,IICore TW,IICore HK,Table A,Table B,Small dict,Revised,County/city name,Road name,Surname flag,Examinee,City,JIS,Font count,Category,Notes
6634,蓽,084FD,Big5-2,,C,,,V,,V,,,,,,4,,9,,蓽路藍樓、蓬蓽生輝 (hardship of pioneering; humble home shines with a guest)
5176,珞,073DE,Big5-1,TW / Hakka,A,A,,V,,V,,,3,85,1,2,,13,Surname / personal name,瓔珞 (jeweled necklace / adornment)
6432,劓,5293,Big5-1,,A,,,V,,V,,,,,,3,,9,,劓刑 (ancient punishment: cutting off the nose)
1369,忡,05FE1,Big5-2,,B,B,,V,V,V,,,,,,3,,14,Uncategorized,憂心忡忡 (heavy-hearted with worry)
5487,掮,063AE,Big5-2,TW,B,,,V,,V,,,,,,,,12,Common word,掮客 (broker / middleman)
5915,筧,07B67,Big5-1,TW / Hakka,A,,,V,,V,,4,,3,,2,,11,,竹筧；筧橋 (bamboo aqueduct; also place name Jianqiao)
5054,圻,0573B,Big5-1,,A,A,,V,,V,,,,350,,2,,13,Surname / personal name,Common in personal & company names
5306,讞,08B9E,Big5-2,HK / Hakka note,C,,,V,,V,,,,,,4,,13,Common word,三審定讞 (final conviction after three trials)
5535,熏,0718F,Big5-2,TW,A,A,,V,,V,,,,160,,2,,12,,熏陶；煙熏 (gradual cultivation / influence; smoke-cured)
6549,渟,06E1F,Big5-2,HK / Hakka note,A,A,,V,,V,,,,161,,2,,9,,"淵渟岳峙 (deep as a pool, lofty as a peak — classical praise)"
2903,眈,7708,Big5-2,,A,A,,V,V,V,,,,,,2,,14,Uncategorized,虎視眈眈 (eye covetously like a tiger)
5284,蝣,8763,Big5-2,,,,,V,,V,,,,,,2,,13,Flora & fauna,蜉蝣 (mayfly)
1709,搧,6427,Big5-2,TW / Hakka,C,,,V,V,V,,,,,,,,14,Uncategorized,搧風 (to fan; also “fan the flames” colloquially)
3035,祢,7962,CJK,,,,,,,,,,,,,1,人,14,Uncategorized,父祢 (one’s deceased father — classical; also JP surname spelling)
5368,霰,9730,Big5-1,,A,A,,V,,V,,,,4,,2,,13,Common word,冰霰 (graupel / soft hail)
1315,彝,05F5D,Big5-1,,A,A,V,,,V,,,,71,,2,,14,Uncategorized,彝族；彝器 (Yi people; ritual bronze vessels)
5669,鑊,0944A,Big5-2,HK / Hakka note,B,B,,V,,V,,,,,,3,,12,Common word,鑊氣、大鑊 (wok hei; also Cantonese “big trouble” (大鑊))
800,垓,5793,Big5-1,,A,A,,V,,V,,,,2,,2,,14,Uncategorized,垓下 (Gaixia — site of Xiang Yu’s final battle)
5679,顢,9862,Big5-2,TW,C,,,V,,V,,,,,,,,12,Common word,顢頇 (muddle-headed)
5499,杼,0677C,Big5-1,,A,,,V,V,V,,,,17,,2,,12,,"不聞機杼聲，惟聞女嘆息 (no loom sound, only a girl's sigh (木蘭詩))"
5917,篌,07BCC,Big5-1,,A,,,V,,V,,,,,,2,,11,Classical Chinese,箜篌 (konghou — ancient Chinese harp)
5940,莿,083BF,Big5-2,TW,C,,,V,,V,39,42,,,,3,,11,,"雲林縣莿桐鄉 (Citong Township, Yunlin)"
2479,濰,06FF0,Big5-1,,A,A,,V,,V,,,,95,,3,,14,Uncategorized,"濰坊；濰河 (Weifang; Wei River, Shandong)"
6160,攥,6525,Big5-2,,B,,,,,V,,,,,,,,10,,攥緊；攥拳頭 (clench tightly; make a fist)
2416,滸,06EF8,Big5-2,TW,A,A,,V,V,V,,,,10,,2,,14,Uncategorized,水滸傳 (Water Margin / Outlaws of the Marsh)
5916,篋,07BCB,Big5-2,TW,,,,V,,V,,,,,,2,,11,,傾箱倒篋；書篋 (empty every box — rummage thoroughly; book case)
21,丰,4.00E+30,Big5-1,,A,A,,V,V,V,,,,319,,3,,14,Uncategorized,丰采；丰姿 (graceful bearing / charming appearance)
6981,訇,08A07,Big5-2,,,,,V,,V,,,1,,,,,8,,"Ahong / imam (阿訇, Islam)"
5225,絛,07D5B,Big5-1,,A,,,V,V,V,,,,,,2,,13,Common word,絛蟲 (tapeworm)
6980,襞,0895E,Big5-1,TW,A,,,V,,V,,,,,,2,,8,,皺襞 (folds / rugae — of cloth or tissue)
5280,蜉,8709,Big5-2,,B,,,V,,V,,,,,,2,,13,Flora & fauna,蜉蝣 (mayfly)
818,堃,5803,CJK,Clearer with Taiwanese literacy,B,B,,,,V,,,,382,,,,14,Uncategorized,多用於人名 (variant-related to 坤; common in personal names)
5988,輳,08F33,Big5-1,,A,A,,V,,V,,,,,,2,,11,,輻輳 (converge like spokes to a hub)
5415,儸,5138,Big5-1,,A,,,V,V,V,,,,,,,,12,Common word,僂儸 (bandit / ruffian (連綿詞))
5016,亳,04EB3,Big5-1,,A,,,V,,V,,,,,,2,,13,Historical / geographic,商湯定都於亳縣 (Shang Tang made 亳 his capital)
5211,筮,07B6E,Big5-1,,A,A,,V,,V,,,,2,,2,,13,Common word,卜筮 (divination)
1656,捺,0637A,Big5-1,HK / Hakka note,A,A,,V,V,V,,,,,,1,人,14,Uncategorized,按捺；斜捺 (restrain; the right-falling stroke in calligraphy)
3619,苯,082EF,Big5-1,,A,A,,V,,V,,,,,,,,14,Uncategorized,甲苯；苯環 (toluene; benzene ring — chemistry)
6083,喑,5591,Big5-2,TW,,,,V,,V,,,,,,4,,10,,Suggest moving 「喑」 from local to basic set. 「瘖啞」 also written 「喑啞」; appears in TW/HK/CN frequency lists.
5232,縝,07E1D,Big5-1,,A,A,,V,,V,,,,17,,4,,13,Common word,縝密 (meticulous / dense)
2701,琦,7426,Big5-1,TW,A,A,,V,V,V,,,,3816,,3,,14,Uncategorized,瑰琦；多用於人名 (rare and fine jade; common in names)
2250,沂,06C82,Big5-1,,A,A,,V,,V,,1,,678,,2,,14,Uncategorized,臨沂；沂河 (Linyi; Yi River)
5834,榎,0698E,Big5-2,,A,,,V,,,,,9,2,,1,人,11,Surname / personal name,榎木 (hackberry / Celtis; also JP surname Enoki spelling)
5685,鯡,09BE1,Big5-2,,C,,,,,V,,,,,,2,,12,Flora & fauna,鯡魚罐頭 (canned herring)
1728,摻,0647B,Big5-1,TW / Hakka,A,A,,V,V,V,,,,,,,,14,Uncategorized,摻雜；摻水 (adulterate / mix in; water down)
5111,晁,6641,Big5-1,TW / Hakka,A,A,,V,V,V,,,294,191,,2,,13,Surname / personal name,"晁錯；姓氏 (Chao Cuo, Han statesman; also a surname)"
5275,薏,0858F,Big5-2,TW,A,A,,V,,V,,1,,822,,3,,13,Flora & fauna,薏仁 (job's tears / pearl barley-like grain)
6371,鍼,0937C,Big5-2,TW,,A,,V,,V,,,,7,,2,,10,,鍼灸 (acupuncture and moxibustion; traditional spelling of 針灸)
5986,蹧,8.00E+67,Big5-2,TW,C,,,V,V,V,,,,,,,,11,,蹧蹋 (trample / ruin — variant of 糟蹋)
6241,瑳,7473,Big5-2,,A,A,,V,,V,,,,1,10,1,人,10,World place name,多用於人名 (bright luster of jade; mainly personal names)
7015,鋃,092C3,Big5-2,,C,,,V,,V,,,,1,,,,8,,鋃鐺入獄 (be clapped in irons / thrown in jail)
9757,蹚,08E5A,Big5-2,,B,,,V,,V,,,,,,,,4,,蹚渾水 (wade into muddy water — get involved in a mess)
760,囝,056DD,Big5-1,TW,A,A,,V,,V,,,,,,,,14,Uncategorized,囝仔 (child — Min / Taiwanese)
6157,撾,064BE,Big5-1,,A,A,,V,,V,,,,,,3,,10,,老撾；撾鼓 (Laos; to beat a drum)
6197,氚,06C1A,Big5-2,,,,,V,,V,,,,,,,,10,,氚 (tritium — hydrogen isotope ³H)
5629,訢,08A22,Big5-1,,A,,,V,,V,,,,64,,3,,12,Surname / personal name,Many personal-name uses
5945,菫,083EB,Big5-2,,,A,,V,V,V,,,,6,,2,人,11,,菫菜 (violet / Viola; same family of forms as 堇)
6900,烔,070D4,Big5-2,,B,,,,,,,,,5,,3,,8,,多用於人名 (rare; mainly personal names)
5938,莨,083A8,Big5-2,,B,,,V,,V,,,,41,,2,,11,Common in naming,莨菪；薯莨 (henbane; Dioscorea cirrhosa / yam dye plant)
5655,醯,091AF,Big5-2,,A,A,,V,,V,,,,,,2,,12,Science & engineering,乙醯輔酶a (acetyl-CoA)
6886,殂,06B82,Big5-2,,B,,,V,,V,,,,,,3,,8,,崩殂 (death of an emperor — as in 出師表)
5570,禰,079B0,Big5-2,,,,,V,,V,,,,,1,1,人,12,Common in naming,禰豆子 (Nezuko (Demon Slayer))
6646,裎,088CE,Big5-2,,C,,,V,,V,,,,3,,3,,9,,裸裎 (naked; stripped)
5270,葯,0846F,Big5-2,,A,A,,V,,V,,,,,,2,,13,Variant form,藥 (medicine / drug)
5824,柁,067C1,Big5-2,,,,,V,,V,,,,,,1,,11,Occasionally used,掌柁 (steer / take the helm)
5420,剉,5249,Big5-2,TW,C,,,V,,V,,,,,,3,,12,Common word,剉傷 (abrasion / scrape wound)
5906,禚,0799A,Big5-2,,C,,,V,,V,,,97,7,,,,11,Surname / personal name,禚家餃子 (Zhuo-family dumplings (brand/name))
1855,旻,065FB,Big5-2,,A,A,,V,,V,,,2,4892,,2,,14,Uncategorized,蒼旻；多用於人名 (the sky; common in personal names)
8648,磔,078D4,Big5-2,,,,,V,,V,,,,,,2,,5,,Eight principles of 永; also 磔 punishment
5631,誒,08A92,Big5-2,,,,,V,,V,,,,,,,,12,Common word,Interjection; 欸
5996,銚,0929A,Big5-2,,,,,V,,V,,,,26,10,1,,11,,藥銚；銚子 (small metal pot / kettle for decocting)
1992,柒,067D2,Big5-1,HK / Hakka note,A,A,,V,V,V,,,1,,,4,,14,Uncategorized,"柒（大寫七） (formal numeral “seven,” e.g. on checks)"
5705,伝,04F1D,Big5-2,,,,,,,,,,,,,1,常,11,Variant form,傳 (pass on / biography)
783,坂,5742,CJK,,A,A,,,,V,,4,11,,76,1,常,14,Uncategorized,坡坂；坂本 (slope / hillside; also common in Japanese names)
5168,牀,7240,CJK,,,A,,,,V,,,,,,2,,13,Variant form,Suggest adding 「牀」 (original form of 床). Still seen in traditional-character regions; HK primary learning list includes it.
8599,猞,0731E,Big5-2,,,,,,,V,,,,,,,,5,,猞猁 (lynx)
5242,聒,8052,Big5-1,,A,,,V,V,V,,,,,,2,,13,Common word,聒噪 (noisy / nagging)
3219,粿,07CBF,Big5-2,TW,C,,,V,V,V,,,,,,4,,14,Uncategorized,草仔粿；發粿 (Taiwanese rice cakes / savory kueh)
3716,蓁,084C1,Big5-2,TW,B,,,V,,V,,6,,3673,,2,,14,Uncategorized,其葉蓁蓁；多用於人名 (lush foliage — 詩經; common in names)
589,咿,054BF,Big5-1,,A,,,V,,V,,,,1,,4,,14,Uncategorized,咿呀 (babbling / creaking onomatopoeia)
5560,眛,0771B,Big5-2,,C,,,V,,V,,,,,,2,,12,,眛: dim-sighted. Different from 昧
5152,潟,06F5F,Big5-1,,A,A,,V,,V,,,,,78,1,常,13,Geography / society,潟湖 (lagoon)
5399,亓,4.00E+93,Big5-2,,B,,,V,,V,,,239,15,,,,12,Surname / personal name,Rare surname
5658,釭,091ED,Big5-1,,A,,,V,,V,,,,2,,3,,12,Common in naming,多用於人名；燈釭 (classical lamp/bowl metalwork; mostly names today)
5047,囧,5.60E+08,Big5-2,,,,,V,,V,,,,1,,,,13,Internet slang,Same as / related: 同冏
5015,亢,04EA2,Big5-1,TW / Hakka,A,A,,V,V,V,,,84,25,,2,,13,Common word,高亢 (high-pitched / impassioned)
5485,拊,062CA,Big5-2,TW,,,,V,,V,,,,,,2,,12,,拊掌 (clap one’s hands)
6264,秭,079ED,Big5-2,,B,,,V,,V,,,,11,,3,,10,,中國數字 (Chinese numerals)
5347,鋐,092D0,Big5-2,,C,,,V,,V,,,,185,,4,,13,Surname / personal name,Common in company / shop names
5866,淖,06DD6,Big5-2,,A,,,V,,V,,,,,,3,,11,Classical Chinese,泥淖 (mire / bog — also figurative mess)
6104,埵,057F5,Big5-2,,,,,V,,V,,,,,,3,,10,,Heart Sutra: 菩提薩埵
5639,蹕,8.00E+55,Big5-1,,A,,,V,,V,,,,4,,2,,12,China place name,Often in Chinese class texts (royal travel traffic control)
6078,啐,5550,Big5-2,HK / Hakka note,B,,,V,,V,,,,,,3,,10,,啐一口 (spit at / spit out a mouthful)
7239,櫫,06AEB,Big5-2,,C,,,V,,V,,,,,,,,7,,揭櫫 (set forth / proclaim)
1095,寰,05BF0,Big5-1,,A,A,,V,V,V,,,1,553,,2,,14,Uncategorized,人寰；寰宇 (the human world; the whole universe)
6679,釙,091D9,Big5-1,,A,,,V,,V,,,,1,,,,9,,釙 (polonium — chemical element Po)
5079,幃,5.00E+43,Big5-1,,A,,,V,,V,,,,199,,2,,13,Surname / personal name,Common in personal & company names
5628,触,8.90E+07,Big5-2,,,,,,,,,,,,,1,常,12,Variant form,觸 (touch / contact / trigger)
5017,优,04F18,Big5-2,,A,,,V,,V,,,2,,,,,13,Variant form,優 (excellent / actor)
6565,珽,073FD,Big5-2,,A,A,,V,,V,,,,165,,,,9,,玉珽；多用於人名 (jade scepter tablet; also in names)
2387,湳,6.00E+73,Big5-2,TW,A,A,,V,,,,37,,11,1,,,14,Uncategorized,湳地；地名常用 (marshy land; common in Taiwan place names)
5214,箸,07BB8,Big5-1,TW / Hakka,A,A,,V,,V,,,,,,1,常,13,Common word,筷子 (chopsticks)
5850,殄,06B84,Big5-2,,A,A,,V,,V,,,,,,2,,11,Common word,暴殄天物 (waste natural resources recklessly)
6522,暌,0668C,Big5-2,,C,,,V,,V,,,,2,,,,9,,暌違 = 睽違 (long separation (暌違 = 睽違))
6346,軏,08ECF,Big5-1,,A,,,V,,V,,,,3,,,,10,,小車無軏 (crossbar pin of a small carriage — 論語 allusion)
1642,捍,0634D,Big5-1,HK / Hakka note,A,A,,V,,V,,,,1,,2,,14,Uncategorized,捍衛 (defend / safeguard)
8039,酹,9179,Big5-2,,,,,V,,V,,,,,,4,,6,,Nian Nu Jiao: 「人間如夢，一尊還酹江月。」
1285,廸,05EF8,CJK,,,,,,,V,,4,3,48,,2,,14,Uncategorized,啓廸 (enlighten / inspire — variant spelling of 迪)
2765,甯,0752F,Big5-2,,B,,,V,,V,,,990,784,,3,,14,Uncategorized,姓氏；與「寧」通用於名 (surname Ning; often interchangeable with 寧 in names)
1162,峯,05CEF,CJK,,A,A,,,,V,,25,1,813,1,1,人,14,Uncategorized,山峯；高峯 (mountain peak — variant of 峰)
3629,茜,0831C,Big5-2,,A,A,,V,,V,,,1,1423,,1,人,14,Uncategorized,茜草；茜色 (madder plant; deep reddish color; also names)
5018,佚,04F5A,Big5-1,,A,A,,V,V,V,,,,12,,2,,13,Common word,佚名 (anonymous)
4901,鯖,09BD6,Big5-1,,A,A,,V,,V,,,,,1,1,,14,Uncategorized,鯖魚 (mackerel)
5350,錙,9319,Big5-1,,A,,,V,,V,,,,,,2,,13,Common word,錙銖必較 (haggle over every last bit)
7377,蠆,8806,Big5-2,,,,,V,,V,,,,,,3,,7,,水蠆 (dragonfly nymph)
5753,囹,056F9,Big5-2,HK / Hakka note,A,A,,V,,V,,,,,,2,,11,Common word,身陷囹圄 (thrown into prison)
5134,氪,06C2A,Big5-2,,B,B,,V,,V,,,,,,,,13,Internet slang,氪金玩家 (whale / paying gamer (氪金))
5480,恁,6041,Big5-2,TW / Hakka,A,A,,V,,V,,,,11,,2,,12,Taiwanese (Hokkien),Commonly used
5715,僎,050CE,Big5-1,,A,,,V,,V,,,,,,4,,11,Classical Chinese,典禮用字（古） (classical ritual attendant title; rare today)
5934,臠,8.10E+01,Big5-2,,C,,,V,,V,,,,,,2,,11,Occasionally used,禁臠 (exclusive preserve — “untouchable” favorite domain)
2319,涅,06D85,Big5-1,,A,A,,V,,V,,,,,459,2,,14,Uncategorized,涅槃 (nirvana)
7030,陘,9658,Big5-1,,A,,,V,,V,,,,,,3,,8,,井陘 (Jingxing — pass / historic battlefield)
614,唇,5507,Big5-1,TW,A,A,,V,,V,,,,,,1,常,14,Uncategorized,嘴唇；唇膏 (lips; lipstick)
5195,盅,076C5,Big5-1,HK / Hakka note,A,A,,V,,V,,,,,,3,,13,Common word,茶盅 (tea cup / small tea bowl)
5395,鹵,9.00E+75,Big5-1,HK / Hakka note,A,A,,V,,V,,,,,,2,,13,Common word,Radical; also halogen-related
5615,蕁,8541,Big5-2,,A,A,,V,,V,,,,,,2,,12,Common word,蕁麻疹 (urticaria / hives)
6247,痧,7.50E+08,Big5-2,TW / Hakka,B,,,V,,V,,,,,,4,,10,,刮痧 (gua sha / scraping therapy)
5995,銃,9283,Big5-2,TW / Hakka,A,A,,V,V,V,,,,,,1,常,11,,火銃；鳥銃 (firearm / blunderbuss; fowling piece)
5020,倢,5022,Big5-2,,C,,,V,,V,,,,438,,4,,13,Surname / personal name,Common in personal names
2318,涂,06D82,Big5-2,TW,A,A,,V,V,V,,,27498,1682,,3,,14,Uncategorized,姓氏「涂」 (surname Tu; distinct from 塗 in names)
5131,殭,06BAD,Big5-2,TW,B,B,,V,,V,,,,,,3,,13,Common word,殭屍 (jiangshi / zombie)
5751,囗,056D7,Big5-2,,,,,V,,V,,,,,,2,,11,Radical,「囗」部首／圍字框 (Kangxi radical 31 “enclosure”)
6610,繻,07E7B,Big5-2,,B,,,V,,V,,,,43,,2,,9,,羅繻 (fine thin silk — classical)
7184,怍,0600D,Big5-2,,,,,V,,V,,,,,,3,,7,,Suggest adding 「怍」 to the basic set; words like 「愧怍」「慚怍」. Appears in corpus / frequency lists.
5062,婭,05A6D,Big5-2,,B,B,,V,,V,,,2,8,,3,,13,Common word,Common in translated terms
5635,譟,08B5F,Big5-1,,A,,,V,,V,,,,,,2,,12,Common word,鼓譟 (clamor / raise a din)
5376,驍,09A4D,Big5-1,TW,A,A,,V,V,V,,,,7,,2,人,13,Common word,驍勇善戰 (valiant and skilled in battle)
5726,勰,052F0,Big5-1,,A,,,V,,V,,1,,8,,3,,11,Surname / personal name,"劉勰；多用於人名 (Liu Xie, author of 文心雕龍; also names)"
5924,紺,07D3A,Big5-2,TW,A,A,,V,,V,,,,,,1,常,11,,紺色 (dark bluish purple / dark indigo)
6028,魩,09B69,CJK,TW,,,,,,,,,,,,,,11,,魩仔魚 (whitebait / larval anchovy — Taiwan seafood)
5165,熒,7192,Big5-1,,A,A,,V,,V,,,,279,,3,,13,Uncategorized,Mostly classical; today often a pseudo-traditional form of 螢?
5792,帙,5.00E+19,Big5-2,TW,,A,,V,,V,,,,3,,2,,11,Classical Chinese,篇帙 (volumes / fascicles of books)
6364,鈇,9207,Big5-1,,A,,,V,,V,,,,3,,3,,10,,鈇鉞 (axe and battle-axe — classical weapons of authority)
6804,坔,5754,CJK,Clearer with Taiwanese literacy,C,,,,,,,3,,,,,,8,,Tainan / Hualien place names
8598,猁,7301,Big5-2,,,,,,,V,,,,,,,,5,,猞猁 (lynx)
7344,聵,8075,Big5-2,,C,,,V,,V,,,,,,4,,7,,振聾發聵 (rouse the deaf and blind — awaken people)
6293,膂,8182,Big5-1,,A,,,V,,V,,,,,,2,,10,,膂力 (physical strength / back strength)
7200,扞,0625E,Big5-2,TW,C,,,V,,V,,,,1,,2,,7,,扞格不入 (incompatible / at odds)
5781,孥,05B65,Big5-2,,,,,V,,V,,,,,,2,,11,Classical Chinese,妻孥 (wife and children)
2551,煲,7172,Big5-2,HK / Hakka note,B,B,,V,V,V,,,,,,,,14,Uncategorized,煲湯；煲電話粥 (cook soup in a clay pot; long phone chat — Cantonese)
5120,桎,0684E,Big5-2,,A,A,,V,,V,,,,9,,2,,13,Binome / fixed compound,桎梏 (shackles / fetters)
6228,熵,071B5,Big5-2,,,,,,,,,,,1,,,,10,,熵 (entropy — thermodynamics / information theory)
2728,璇,7487,Big5-2,TW,A,A,,V,,V,,,,5461,,3,,14,Uncategorized,璇璣；多用於人名 (armillary / celestial instrument; common in names)
6320,蠖,8816,Big5-2,,C,,,V,,V,,,,,,2,,10,,尺蠖 (inchworm / looper caterpillar)
2811,痍,075CD,Big5-1,,A,A,,V,,V,,,,,,2,,14,Uncategorized,瘡痍；滿目瘡痍 (wounds / devastation; “ravaged everywhere”)
6123,峋,05CCB,Big5-2,,B,,,V,,V,,,,20,,3,,10,,嶙峋 (gaunt / jagged — of rocks or a thin frame)
5928,羆,07F86,Big5-2,,,,,V,,V,,,,,,2,,11,China place name,熊羆嶺 (Xiongpi Ridge / place with 羆)
5299,諶,08AF6,Big5-1,,A,A,,V,,V,,,1378,119,,3,,13,Surname / personal name,Common as surname & in company names
5813,擯,064EF,Big5-2,,,,,V,,V,,,,,,2,,11,,擯棄 (reject / cast aside)
5864,浥,06D65,Big5-1,,A,A,,V,,V,,,,58,,3,,11,Common in naming,渭城朝雨浥輕塵 (moisten — from Wang Wei’s farewell poem)
5446,嘓,5613,Big5-2,TW,C,,,V,,V,,,,,,,,12,Onomatopoeia,Frog (etc.) sound
5058,墩,058A9,Big5-1,TW / Hakka,A,A,,V,V,V,,51,,28,,3,,13,Common word,橋墩 (bridge pier)
4492,銹,092B9,Big5-2,Clearer with Hakka literacy,A,A,,,,V,,,,20,,2,,14,Uncategorized,
5210,窿,07ABF,Big5-1,HK / Hakka note,A,A,,V,V,V,,,,,,2,,13,Common word,窟窿 (hole / loophole)
6395,鯷,09BF7,Big5-2,,C,,,V,,V,,,,,,4,,10,,
5868,湣,6.00E+63,Big5-1,,A,,,V,,V,,,,10,,4,,11,Historical / geographic,齊湣王 (King Min of Qi)
3709,蒨,084A8,Big5-2,,B,B,,V,,V,,,,1017,,,,14,Uncategorized,
6000,銫,092AB,Big5-2,,C,,,V,,V,,,,,,4,,11,,
6518,敔,6554,Big5-1,,A,,,V,,V,,,,14,,4,,9,,
5466,尻,05C3B,Big5-2,TW,,A,,V,,V,,,,1,5,1,常,12,Common word,屁屁 (butt (childish))
5059,壼,058FC,Big5-2,HK / Hakka note,C,,,V,V,V,,,,,,2,,13,Uncategorized,Originally a palace passageway; now a common misspelling of 壺
5946,萣,8423,Big5-2,TW,C,,,V,,,62,63,,1,,,,11,,"高雄市茄萣區 (Qieding District, Kaohsiung)"
5085,徠,05FA0,Big5-1,,A,A,,V,,V,,,,,,2,人,13,Common word,徠卡相機 (Leica camera)
8771,芘,8298,Big5-2,,,,,V,,V,,,,,,,,5,,C16H10; also shop names
577,咧,054A7,Big5-1,TW / Hakka,A,A,,V,,V,,,,,,,,14,Uncategorized,
6818,嬬,05B2C,Big5-2,,A,,,,,V,,,,85,,1,,8,,
5180,琨,7428,Big5-1,,A,A,,V,,V,,,1,345,,3,,13,Surname / personal name,
5810,摶,6476,Big5-2,,C,,,V,,V,,,,,,2,,11,,
6618,肽,080BD,CJK,,,,,,,V,,,,,,,,9,,Peptide (胜肽)
5228,綣,07DA3,Big5-2,,C,,,V,,V,,,,1,,2,,13,Common word,繾綣 (deep attachment / lingering affection)
2847,癟,0765F,Big5-1,,A,,,V,V,V,,,,,,,,14,Uncategorized,
5769,夬,0592C,Big5-2,,,B,,V,,V,,,,,,2,,11,Common in naming,
6707,髫,09AEB,Big5-2,,,,,V,,V,,,,,,2,,9,,"髫稚(幼童;幼稚);髫草(指小兒,幼童);髫兒(幼童,小孩);髫歲(幼年,童年);髫發(小兒垂發。引申為童年之稱);髫齒 (childhood-related compounds with 髫 (young child’s hanging hair))"
5204,祛,0795B,Big5-2,HK / Hakka note,A,A,,V,,V,,,,,,4,,13,Common word,祛痰、祛災、祛邪 (dispel phlegm / disaster / evil)
8577,溚,06E9A,CJK,HK / Hakka note,,,,,,V,,,,,,,,5,,
11880,坋,0574B,Big5-2,,,,,,,,,,,,,,,2,,
